w_recon,w_latent,w_gamma,val_macro_auroc,auroc_chb10,auroc_chb11,auroc_chb22
0.45,0.05,0.50,0.881324,0.699871,0.961775,0.982325
0.45,0.10,0.45,0.888756,0.720658,0.962861,0.982748
0.45,0.15,0.40,0.895469,0.739825,0.963571,0.983013
0.45,0.20,0.35,0.900565,0.755345,0.963625,0.982724
0.45,0.25,0.30,0.903660,0.766376,0.962686,0.981920
0.45,0.30,0.25,0.903952,0.771674,0.960112,0.980071
0.45,0.35,0.20,0.900851,0.771606,0.954744,0.976202
0.45,0.40,0.15,0.892740,0.766451,0.944547,0.967223
0.45,0.45,0.10,0.874337,0.755672,0.924722,0.942615
0.45,0.50,0.05,0.834395,0.735538,0.886511,0.881135
0.45,0.55,0.00,0.764584,0.701400,0.819644,0.772707
0.50,0.00,0.50,0.865246,0.650541,0.962891,0.982306
0.50,0.05,0.45,0.871452,0.667271,0.964169,0.982918
0.50,0.10,0.40,0.877866,0.685289,0.965031,0.983279
0.50,0.15,0.35,0.883491,0.701967,0.965351,0.983154
0.50,0.20,0.30,0.887496,0.715249,0.964725,0.982515
0.50,0.25,0.25,0.889105,0.723760,0.962687,0.980869
0.50,0.30,0.20,0.887439,0.726983,0.958039,0.977296
0.50,0.35,0.15,0.880871,0.725111,0.948685,0.968817
0.50,0.40,0.10,0.864103,0.717494,0.930297,0.944517
0.50,0.45,0.05,0.825716,0.700249,0.894452,0.882447
0.50,0.50,0.00,0.757237,0.668482,0.830772,0.772458
0.55,0.00,0.45,0.854793,0.616692,0.965075,0.982612
0.55,0.05,0.40,0.859588,0.629636,0.966070,0.983057
0.55,0.10,0.35,0.864614,0.644248,0.966577,0.983016
0.55,0.15,0.30,0.868903,0.658053,0.966185,0.982471
0.55,0.20,0.25,0.871351,0.668710,0.964451,0.980891
0.55,0.25,0.20,0.871125,0.675633,0.960283,0.977460
0.55,0.30,0.15,0.866094,0.677625,0.951679,0.968977
0.55,0.35,0.10,0.850861,0.673569,0.934344,0.944670
0.55,0.40,0.05,0.814058,0.659871,0.900451,0.881853
0.55,0.45,0.00,0.746980,0.631197,0.839580,0.770162
0.60,0.00,0.40,0.842636,0.578952,0.966698,0.982257
0.60,0.05,0.35,0.845745,0.587702,0.967298,0.982235
0.60,0.10,0.30,0.849118,0.598586,0.967080,0.981690
0.60,0.15,0.25,0.851752,0.609504,0.965548,0.980204
0.60,0.20,0.20,0.852343,0.618801,0.961694,0.976533
0.60,0.25,0.15,0.848639,0.624661,0.953643,0.967611
0.60,0.30,0.10,0.834796,0.624694,0.937071,0.942623
0.60,0.35,0.05,0.799531,0.614749,0.904776,0.879069
0.60,0.40,0.00,0.734153,0.590313,0.846653,0.765493
0.65,0.00,0.35,0.828970,0.538395,0.967621,0.980895
0.65,0.05,0.30,0.830425,0.543477,0.967472,0.980326
0.65,0.10,0.25,0.832001,0.551231,0.966075,0.978699
0.65,0.15,0.20,0.832334,0.559941,0.962406,0.974654
0.65,0.20,0.15,0.829045,0.567847,0.954543,0.964744
0.65,0.25,0.10,0.816242,0.571367,0.938569,0.938791
0.65,0.30,0.05,0.782281,0.565486,0.907450,0.873906
0.65,0.35,0.00,0.718885,0.545842,0.851733,0.759081
0.70,0.00,0.30,0.814400,0.497385,0.967504,0.978312
0.70,0.05,0.25,0.813877,0.499264,0.966085,0.976281
0.70,0.10,0.20,0.812839,0.504433,0.962474,0.971612
0.70,0.15,0.15,0.808788,0.511061,0.954699,0.960604
0.70,0.20,0.10,0.795886,0.515857,0.939060,0.932740
0.70,0.25,0.05,0.762551,0.512973,0.908785,0.865896
0.70,0.30,0.00,0.701358,0.498798,0.855267,0.750010
0.75,0.00,0.25,0.798656,0.457304,0.965665,0.973000
0.75,0.05,0.20,0.795262,0.456528,0.961937,0.967322
0.75,0.10,0.15,0.789206,0.458597,0.954099,0.954921
0.75,0.15,0.10,0.774821,0.461434,0.938538,0.924492
0.75,0.20,0.05,0.741316,0.459776,0.908954,0.855219
0.75,0.25,0.00,0.682101,0.450091,0.857282,0.738930
0.80,0.00,0.20,0.780486,0.418519,0.960964,0.961976
0.80,0.05,0.15,0.771628,0.414723,0.952869,0.947292
0.80,0.10,0.10,0.754557,0.412694,0.937229,0.913749
0.80,0.15,0.05,0.719785,0.409357,0.908078,0.841921
0.80,0.20,0.00,0.661861,0.402034,0.858013,0.725536
0.85,0.00,0.15,0.756345,0.380376,0.951109,0.937549
