weight,mag_pct,subject,pen_mult,n_seizures,tp,fp,n_ref,n_hyp,sensitivity,precision,f1,fp_per_day,fp_rate_full,mean_lat_s,n_inter_h
new_decision19,80.0,chb06,2.0,10,0,21,10,29,0.0,0.0,0.0,7.5581104723819035,7.5524475524475525,nan,66.68
new_decision19,80.0,chb06,5.0,10,0,9,10,13,0.0,0.0,0.0,3.2391902024493877,3.236763236763237,nan,66.68
new_decision19,80.0,chb06,10.0,10,0,5,10,8,0.0,0.0,0.0,1.7995501124718818,1.7982017982017984,nan,66.68
new_decision19,40.0,chb13,0.3,12,11,127,12,268,0.9166666666666666,0.07971014492753623,0.14666666666666667,92.8136419001218,92.36363636363636,2.5454545454545454,32.84
new_decision19,40.0,chb13,0.5,12,11,106,12,214,0.9166666666666666,0.09401709401709402,0.17054263565891473,77.46650426309378,77.0909090909091,0.7272727272727273,32.84
new_decision19,40.0,chb13,1.0,12,10,74,12,132,0.8333333333333334,0.11904761904761904,0.20833333333333334,54.0803897685749,53.81818181818182,-6.4,32.84
new_decision19,40.0,chb13,2.0,12,10,51,12,83,0.8333333333333334,0.16393442622950818,0.273972602739726,37.27161997563946,37.09090909090909,-6.4,32.84
new_decision19,40.0,chb13,5.0,12,6,22,12,36,0.5,0.21428571428571427,0.3,16.077953714981728,16.0,17.333333333333332,32.84
new_decision19,40.0,chb13,10.0,12,2,11,12,15,0.16666666666666666,0.15384615384615385,0.16,8.038976857490864,8.0,10.0,32.84
new_decision19,50.0,chb13,0.3,12,11,105,12,229,0.9166666666666666,0.09482758620689655,0.171875,76.73568818514006,76.36363636363636,2.5454545454545454,32.84
new_decision19,50.0,chb13,0.5,12,10,87,12,183,0.8333333333333334,0.10309278350515463,0.1834862385321101,63.58099878197319,63.27272727272727,-4.4,32.84
new_decision19,50.0,chb13,1.0,12,10,66,12,114,0.8333333333333334,0.13157894736842105,0.22727272727272727,48.23386114494518,48.0,-6.4,32.84
new_decision19,50.0,chb13,2.0,12,10,44,12,73,0.8333333333333334,0.18518518518518517,0.30303030303030304,32.155907429963456,32.0,-6.4,32.84
new_decision19,50.0,chb13,5.0,12,6,19,12,32,0.5,0.24,0.32432432432432434,13.885505481120584,13.818181818181818,17.333333333333332,32.84
