seed,subject,mag_pct,pen_mult,tp,fp,n_seizures,n_inter_h,sensitivity,precision,fp_per_day,window_auroc
42,chb15,60.0,5.0,18,17,20,39.44,0.9,0.5142857142857142,10.345701969402418,0.8785
42,chb15,65.0,5.0,18,15,20,39.44,0.9,0.5454545454545454,9.128560561237428,0.8785
42,chb15,70.0,5.0,18,13,20,39.44,0.9,0.5806451612903226,7.911419153072436,0.8785
42,chb15,75.0,5.0,18,11,20,39.44,0.9,0.6206896551724138,6.6942777449074455,0.8785
42,chb15,80.0,5.0,18,9,20,39.44,0.9,0.6666666666666666,5.477136336742456,0.8785
42,chb15,40.0,10.0,12,17,20,39.44,0.6,0.4137931034482758,10.345701969402418,0.8785
42,chb15,50.0,10.0,12,15,20,39.44,0.6,0.4444444444444444,9.128560561237428,0.8785
42,chb15,55.0,10.0,12,13,20,39.44,0.6,0.48,7.911419153072436,0.8785
42,chb15,60.0,10.0,12,12,20,39.44,0.6,0.5,7.302848448989941,0.8785
42,chb15,65.0,10.0,12,10,20,39.44,0.6,0.5454545454545454,6.085707040824952,0.8785
42,chb15,70.0,10.0,12,9,20,39.44,0.6,0.5714285714285714,5.477136336742456,0.8785
42,chb15,75.0,10.0,12,8,20,39.44,0.6,0.6,4.868565632659961,0.8785
42,chb15,80.0,10.0,12,6,20,39.44,0.6,0.6666666666666666,3.6514242244949706,0.8785
42,chb16,40.0,0.3,8,58,10,18.97,0.8,0.1212121212121212,73.38331771321462,0.8763
42,chb16,50.0,0.3,8,49,10,18.97,0.8,0.1403508771929824,61.99625117150892,0.8763
42,chb16,55.0,0.3,6,45,10,18.97,0.6,0.1176470588235294,56.93533270852858,0.8763
42,chb16,60.0,0.3,6,39,10,18.97,0.6,0.1333333333333333,49.34395501405811,0.8763
42,chb16,65.0,0.3,6,34,10,18.97,0.6,0.15,43.01780693533271,0.8763
42,chb16,70.0,0.3,3,30,10,18.97,0.3,0.0909090909090909,37.95688847235239,0.8763
42,chb16,75.0,0.3,2,26,10,18.97,0.2,0.0714285714285714,32.89597000937207,0.8763
42,chb16,80.0,0.3,2,21,10,18.97,0.2,0.0869565217391304,26.569821930646675,0.8763
42,chb16,40.0,0.5,5,45,10,18.97,0.5,0.1,56.93533270852858,0.8763
42,chb16,50.0,0.5,5,36,10,18.97,0.5,0.1219512195121951,45.54826616682287,0.8763
42,chb16,55.0,0.5,5,33,10,18.97,0.5,0.131578947368421,41.75257731958763,0.8763
42,chb16,60.0,0.5,3,31,10,18.97,0.3,0.088235294117647,39.222118088097474,0.8763
42,chb16,65.0,0.5,2,28,10,18.97,0.2,0.0666666666666666,35.426429240862234,0.8763
42,chb16,70.0,0.5,2,24,10,18.97,0.2,0.0769230769230769,30.36551077788192,0.8763
42,chb16,75.0,0.5,2,20,10,18.97,0.2,0.0909090909090909,25.3045923149016,0.8763
42,chb16,80.0,0.5,2,15,10,18.97,0.2,0.1176470588235294,18.978444236176195,0.8763
42,chb16,40.0,1.0,4,30,10,18.97,0.4,0.1176470588235294,37.95688847235239,0.8763
42,chb16,50.0,1.0,2,26,10,18.97,0.2,0.0714285714285714,32.89597000937207,0.8763
42,chb16,55.0,1.0,2,26,10,18.97,0.2,0.0714285714285714,32.89597000937207,0.8763
42,chb16,60.0,1.0,2,23,10,18.97,0.2,0.08,29.100281162136834,0.8763
42,chb16,65.0,1.0,2,20,10,18.97,0.2,0.0909090909090909,25.3045923149016,0.8763
42,chb16,70.0,1.0,2,17,10,18.97,0.2,0.1052631578947368,21.508903467666357,0.8763
42,chb16,75.0,1.0,2,14,10,18.97,0.2,0.125,17.713214620431117,0.8763
42,chb16,80.0,1.0,1,11,10,18.97,0.1,0.0833333333333333,13.917525773195877,0.8763
42,chb16,40.0,2.0,2,20,10,18.97,0.2,0.0909090909090909,25.3045923149016,0.8763
42,chb16,50.0,2.0,2,17,10,18.97,0.2,0.1052631578947368,21.508903467666357,0.8763
42,chb16,55.0,2.0,2,15,10,18.97,0.2,0.1176470588235294,18.978444236176195,0.8763
42,chb16,60.0,2.0,2,13,10,18.97,0.2,0.1333333333333333,16.447985004686036,0.8763
42,chb16,65.0,2.0,1,12,10,18.97,0.1,0.0769230769230769,15.182755388940958,0.8763
42,chb16,70.0,2.0,0,10,10,18.97,0.0,0.0,12.6522961574508,0.8763
